,LONGITUDE,LATITUDE,MUN_NAME,WARD_NAME
253952,-79.4113956266,43.7365997408,North York,Eglinton-Lawrence
482174,-79.1298016693,43.789695512,Scarborough,Scarborough-Rouge Park
285955,-79.3529515062,43.6418544446,former Toronto,Toronto-Danforth
342376,-79.3067481373,43.7022066449,East York,Beaches-East York
498290,-79.2008592868,43.8176599113,Scarborough,Scarborough-Rouge Park
229383,-79.4740096039,43.7217182452,North York,York South-Weston
360451,-79.2897084379,43.6861027171,former Toronto,Beaches-East York
410644,-79.2622192395,43.7161102843,Scarborough,Scarborough Southwest
189873,-79.3992011785,43.7125036557,former Toronto,Don Valley West
512859,-79.423127545,43.6644556,former Toronto,University-Rosedale
310278,-79.3069435618,43.6709095192,former Toronto,Beaches-East York
24913,-79.5422568742,43.6774967519,Etobicoke,Etobicoke Centre
4860,-79.5515405244,43.6000654969,Etobicoke,Etobicoke-Lakeshore
390273,-79.3742374527,43.7838849689,North York,Don Valley North
467043,-79.2163376939,43.7572532552,Scarborough,Scarborough-Guildwood
286536,-79.3767971301,43.6634228691,former Toronto,Toronto Centre
270421,-79.423041588,43.795936348,North York,Willowdale
25061,-79.5384153553,43.6712734064,Etobicoke,Etobicoke Centre
406369,-79.3040340544,43.7235351329,North York,Don Valley East
427664,-79.2759117774,43.7623081169,Scarborough,Scarborough Centre
223159,-79.5234869699,43.7418159705,North York,Humber River-Black Creek
44948,-79.506280601,43.6212070483,Etobicoke,Etobicoke-Lakeshore
222850,-79.5208268698,43.743362612,North York,Humber River-Black Creek
421810,-79.2557877037,43.7526722832,Scarborough,Scarborough Centre
353221,-79.2944885216,43.7030196734,East York,Beaches-East York
418298,-79.2595374774,43.7387389168,Scarborough,Scarborough Centre
14517,-79.5738904867,43.6649910691,Etobicoke,Etobicoke Centre
47600,-79.502885718,43.619394894,Etobicoke,Etobicoke-Lakeshore
247865,-79.4454742547,43.7505392298,North York,York Centre
244056,-79.4268514985,43.7372406247,North York,Eglinton-Lawrence
250056,-79.4207074508,43.7591308067,North York,Willowdale
216394,-79.5279282215,43.763041122,North York,Humber River-Black Creek
207662,-79.5951948944,43.757664874,Etobicoke,Etobicoke North
166324,-79.4323378414,43.6805333568,former Toronto,Toronto-St. Paul's
132015,-79.4247235155,43.6618566467,former Toronto,University-Rosedale
44242,-79.5077930187,43.6279776033,Etobicoke,Etobicoke-Lakeshore
227065,-79.5001980174,43.7505848713,North York,Humber River-Black Creek
193536,-79.387006117,43.7083474506,former Toronto,Don Valley West
287809,-79.372947285,43.660754282,former Toronto,Toronto Centre
10144,-79.582438577,43.64161053,Etobicoke,Etobicoke Centre
332023,-79.3243908385,43.6804514763,former Toronto,Toronto-Danforth
479849,-79.1692224494,43.7927953528,Scarborough,Scarborough-Rouge Park
397444,-79.2753009723,43.7360518666,Scarborough,Scarborough Centre
480275,-79.1695707829,43.7985755133,Scarborough,Scarborough-Rouge Park
38952,-79.5107621323,43.6001803457,Etobicoke,Etobicoke-Lakeshore
99446,-79.46595889,43.6880967092,York,York South-Weston
189316,-79.4008946073,43.7075665036,former Toronto,Eglinton-Lawrence
10856,-79.5839077157,43.6589338716,Etobicoke,Etobicoke Centre
518241,-79.229702884,43.812414773,Scarborough,Scarborough North
441969,-79.2848570802,43.8117135597,Scarborough,Scarborough North
273842,-79.4003481981,43.7755481798,North York,Willowdale
96823,-79.4695395335,43.6797518208,York,Davenport
110070,-79.4430715774,43.6459891722,former Toronto,Parkdale-High Park
347379,-79.2838922911,43.6735720214,former Toronto,Beaches-East York
473837,-79.2075415572,43.7648217346,Scarborough,Scarborough-Guildwood
324562,-79.2721515069,43.6886201659,Scarborough,Scarborough Southwest
125515,-79.4468351673,43.672996932,former Toronto,Davenport
200860,-79.6003367997,43.7567506017,Etobicoke,Etobicoke North
260074,-79.3953033621,43.7487008654,North York,Don Valley West
485414,-79.171297811,43.772659741,Scarborough,Scarborough-Rouge Park
115092,-79.4322565544,43.6416927285,former Toronto,Parkdale-High Park
86004,-79.50538545,43.6919106692,York,York South-Weston
325818,-79.3365480726,43.6869170658,East York,Toronto-Danforth
116625,-79.4243392262,43.6420066108,former Toronto,Davenport
245373,-79.4492615229,43.7408180423,North York,York Centre
88354,-79.4982056648,43.6983124015,North York,York South-Weston
252215,-79.4053410965,43.7289723747,former Toronto,Eglinton-Lawrence
468995,-79.1817839297,43.7522600915,Scarborough,Scarborough-Guildwood
371887,-79.3190358568,43.7942555389,Scarborough,Scarborough-Agincourt
465188,-79.2225630242,43.7561632463,Scarborough,Scarborough-Guildwood
152235,-79.411283394,43.671477434,former Toronto,University-Rosedale
465166,-79.2294280566,43.7563715932,Scarborough,Scarborough-Guildwood
