,city,latitude,longitude,q-score,safety,Coordinates,OBJECTID,SUBDISTRIC
22839,Boston,42.344498,-71.037537,22.910643,0,POINT (-71.037537 42.344498),55417,Industrial
14362,Boston,42.330849,-71.07431,23.868849,0,POINT (-71.07431 42.330849),54519,Industrial
14954,Boston,42.331825,-71.076004,21.954567,0,POINT (-71.076004 42.331825),54519,Industrial
30545,Boston,42.355549,-71.140739,23.582809,0,POINT (-71.140739 42.355549),55323,Industrial
12261,Boston,42.326298,-71.102837,23.667685,0,POINT (-71.10283699999999 42.326298),55045,Industrial
21521,Boston,42.342548,-71.036034,18.283983,0,POINT (-71.036034 42.342548),54434,Industrial
31273,Boston,42.35685,-71.14186099999998,18.407124,0,POINT (-71.14186099999998 42.35685),55323,Industrial
106369,Boston,42.270538,-71.12056700000002,22.133667000000006,0,POINT (-71.12056700000002 42.270538),54316,Industrial
30880,Boston,42.356197,-71.13323199999998,22.318405,0,POINT (-71.13323199999998 42.356197),55309,Industrial
22636,Boston,42.344173,-71.042603,23.565777,0,POINT (-71.042603 42.344173),54199,Industrial
22427,Boston,42.343849,-71.054047,22.550608,0,POINT (-71.054047 42.343849),55422,Industrial
20170,Boston,42.340275,-71.062866,16.919045999999998,0,POINT (-71.062866 42.340275),55419,Industrial
22829,Boston,42.344498,-71.031906,20.80455,0,POINT (-71.03190600000001 42.344498),55417,Industrial
50249,Boston,42.385448,-71.047668,18.356331,0,POINT (-71.047668 42.385448),54857,Industrial
3128,Boston,42.298347,-71.056679,22.142653,0,POINT (-71.056679 42.298347),55699,Industrial
48594,Boston,42.382851,-71.06568100000001,24.03767,0,POINT (-71.06568100000001 42.382851),54857,Industrial
24662,Boston,42.347099,-71.030777,17.53586,0,POINT (-71.030777 42.347099),54434,Industrial
15711,Boston,42.333122,-71.077126,20.698301,0,POINT (-71.07712600000001 42.333122),54519,Industrial
24428,Boston,42.346775,-71.038849,14.890560999999998,0,POINT (-71.038849 42.346775),55417,Industrial
23071,Boston,42.344826,-71.049355,17.647627,0,POINT (-71.04935500000001 42.344826),54201,Industrial
5592,Boston,42.309074,-71.074875,18.036688,0,POINT (-71.07487500000001 42.309074),55520,Industrial
12065,Boston,42.325974,-71.06624599999998,19.034435,0,POINT (-71.06624599999998 42.325974),55612,Industrial
12206,Boston,42.326298,-71.07206,17.463787,0,POINT (-71.07205999999999 42.326298),54519,Industrial
22628,Boston,42.344173,-71.038101,23.636501000000006,0,POINT (-71.038101 42.344173),55417,Industrial
47603,Boston,42.38155,-71.080315,15.740979,0,POINT (-71.080315 42.38155),54825,Industrial
22837,Boston,42.344498,-71.036407,21.655649,0,POINT (-71.036407 42.344498),55417,Industrial
87829,Boston,42.245838,-71.12957800000002,18.138039000000006,0,POINT (-71.12957800000002 42.245838),54402,Industrial
16321,Boston,42.334099,-71.075813,21.939096,0,POINT (-71.075813 42.334099),54519,Industrial
50635,Boston,42.386101,-71.073189,16.191618,0,POINT (-71.073189 42.386101),54848,Industrial
14342,Boston,42.330849,-71.06118000000002,16.406584,0,POINT (-71.06118000000002 42.330849),55419,Industrial
90165,Boston,42.249088,-71.12957800000002,24.248615,0,POINT (-71.12957800000002 42.249088),54408,Industrial
47301,Boston,42.381226,-71.05011,20.020908,0,POINT (-71.05011 42.381226),54857,Industrial
21740,Boston,42.342873,-71.052734,17.516287,0,POINT (-71.052734 42.342873),55422,Industrial
28277,Boston,42.351974,-71.049355,13.550272,0,POINT (-71.04935500000001 42.351974),55424,Industrial
9155,Boston,42.318172,-71.102272,10.127271,0,POINT (-71.102272 42.318172),55773,Industrial
13300,Boston,42.328899,-71.071312,20.724899,0,POINT (-71.07131200000001 42.328899),54519,Industrial
24672,Boston,42.347099,-71.037163,22.019497,0,POINT (-71.03716300000001 42.347099),55417,Industrial
29518,Boston,42.353924,-71.050484,23.002729,0,POINT (-71.050484 42.353924),54845,Industrial
83081,Boston,42.237389,-71.135582,17.85581,0,POINT (-71.135582 42.237389),54403,Industrial
25731,Boston,42.3484,-71.102455,20.577374,0,POINT (-71.10245500000001 42.3484),55227,Industrial
55286,Boston,42.393574,-71.011826,22.517492,0,POINT (-71.011826 42.393574),55454,Industrial
11423,Boston,42.324348,-71.071312,20.487167000000003,0,POINT (-71.07131200000001 42.324348),54519,Industrial
22196,Boston,42.343525,-71.057991,14.961245000000002,0,POINT (-71.057991 42.343525),55422,Industrial
22641,Boston,42.344173,-71.04673000000003,12.931308,0,POINT (-71.04673000000003 42.344173),54201,Industrial
45120,Boston,42.3783,-71.07243299999998,15.441478,0,POINT (-71.07243299999998 42.3783),54825,Industrial
23919,Boston,42.346123,-71.03022,14.455618,0,POINT (-71.03022 42.346123),55417,Industrial
21533,Boston,42.342548,-71.04991899999997,17.65527,0,POINT (-71.04991899999997 42.342548),54202,Industrial
24438,Boston,42.346775,-71.04447900000002,21.789843,0,POINT (-71.04447900000002 42.346775),54196,Industrial
31081,Boston,42.356525,-71.14505,17.781979,0,POINT (-71.14505 42.356525),55323,Industrial
44636,Boston,42.377647,-71.07356300000002,18.590395,0,POINT (-71.07356300000002 42.377647),54825,Industrial
24170,Boston,42.346451,-71.031906,20.970333,0,POINT (-71.03190600000001 42.346451),55417,Industrial
10120,Boston,42.320774,-71.068123,17.231071,0,POINT (-71.068123 42.320774),55612,Industrial
30551,Boston,42.355549,-71.14411199999998,13.403289,0,POINT (-71.14411199999998 42.355549),55323,Industrial
30717,Boston,42.355873,-71.143555,20.587967000000006,0,POINT (-71.14355500000001 42.355873),55323,Industrial
13014,Boston,42.328251,-71.071312,17.791218,0,POINT (-71.07131200000001 42.328251),54519,Industrial
23708,Boston,42.345798,-71.04278599999998,19.767447,0,POINT (-71.04278599999998 42.345798),54196,Industrial
15908,Boston,42.33345,-71.075439,20.508011,0,POINT (-71.075439 42.33345),54519,Industrial
24930,Boston,42.347424,-71.048233,12.476154,0,POINT (-71.048233 42.347424),54201,Industrial
14372,Boston,42.330849,-71.079941,21.739836,0,POINT (-71.07994100000001 42.330849),54519,Industrial
54544,Boston,42.392273,-71.069618,16.924339,0,POINT (-71.06961800000001 42.392273),54848,Industrial
46344,Boston,42.379925,-71.073753,23.320761,0,POINT (-71.073753 42.379925),54825,Industrial
26838,Boston,42.350025,-71.03134200000002,11.766134,0,POINT (-71.03134200000002 42.350025),54434,Industrial
49471,Boston,42.384148,-71.0214,18.3027,0,POINT (-71.0214 42.384148),55454,Industrial
24678,Boston,42.347099,-71.04053499999998,15.190929999999998,0,POINT (-71.04053499999998 42.347099),55417,Industrial
48337,Boston,42.382523,-71.05011,21.77577,0,POINT (-71.05011 42.382523),54857,Industrial
13451,Boston,42.329224,-71.069244,14.148079,0,POINT (-71.069244 42.329224),54519,Industrial
17923,Boston,42.3367,-71.056297,16.423126,0,POINT (-71.056297 42.3367),55405,Industrial
22617,Boston,42.344173,-71.032097,24.297308,0,POINT (-71.03209699999999 42.344173),55417,Industrial
