,city,latitude,longitude,q-score,safety,Coordinates,OBJECTID,SUBDISTRIC,index_outof_20000
17139,Boston,42.362049,-71.050667,28.798952000000003,1,POINT (-71.050667 42.362049),54835,Mixed Use,17139
5722,Boston,42.291988,-71.158096,22.459187,0,POINT (-71.158096 42.291988),54446,Residential,5722
3661,Boston,42.349697,-71.163628,31.11845,1,POINT (-71.163628 42.349697),55293,Residential,3661
7291,Boston,42.325001,-71.073189,23.648781,0,POINT (-71.073189 42.325001),54537,Residential,7291
12767,Boston,42.301086,-71.114944,18.580629000000002,0,POINT (-71.11494399999999 42.301086),55842,Open Space,12767
3237,Boston,42.309212,-71.127136,27.56955,1,POINT (-71.12713599999999 42.309212),54244,Residential,3237
10530,Boston,42.344498,-71.067932,27.651201,1,POINT (-71.067932 42.344498),54910,Open Space,10530
7301,Boston,42.24681500000001,-71.136894,24.880760000000002,0,POINT (-71.136894 42.24681500000001),54385,Residential,7301
5662,Boston,42.321422999999996,-71.070374,23.457529,0,POINT (-71.070374 42.321423),54537,Residential,5662
9462,Boston,42.291523,-71.06061600000002,24.167551,0,POINT (-71.06061600000002 42.291523),55677,Residential,9462
15710,Boston,42.386425,-71.072998,19.639864000000006,0,POINT (-71.072998 42.386425),54848,Industrial,15710
18102,Boston,42.340275,-71.063614,19.395321,0,POINT (-71.063614 42.340275),54203,Miscellaneous,18102
15311,Boston,42.338326,-71.042229,20.826565,0,POINT (-71.04222900000001 42.338326),54195,Industrial,15311
13070,Boston,42.234138,-71.12732700000002,19.501764,0,POINT (-71.12732700000002 42.234138),54398,Open Space,13070
6651,Boston,42.273136,-71.073288,22.956503,0,POINT (-71.07328800000001 42.273136),55568,Residential,6651
11900,Boston,42.302574,-71.087631,22.600658,0,POINT (-71.087631 42.302574),54676,Open Space,11900
11372,Boston,42.30173900000001,-71.12545,26.864124,1,POINT (-71.12545 42.30173900000001),55842,Open Space,11372
867,Boston,42.283936,-71.06575,33.399471000000005,1,POINT (-71.06574999999999 42.283936),55593,Residential,867
13959,Boston,42.305805,-71.106964,28.247217,1,POINT (-71.106964 42.305805),55787,Industrial,13959
19778,Boston,42.315197,-71.03478199999998,27.458928999999998,1,POINT (-71.03478199999998 42.315197),55726,Comm/Instit,19778
6057,Boston,42.3354,-71.037537,15.004145000000001,0,POINT (-71.037537 42.3354),54631,Residential,6057
4831,Boston,42.314274,-71.089508,26.557928000000004,1,POINT (-71.089508 42.314274),54749,Residential,4831
14390,Boston,42.340275,-71.05611400000002,18.970556,0,POINT (-71.05611400000002 42.340275),55409,Industrial,14390
3489,Boston,42.270863,-71.080605,30.073484000000004,1,POINT (-71.08060500000001 42.270863),54652,Residential,3489
10452,Boston,42.357174,-71.162689,30.754178999999997,1,POINT (-71.162689 42.357174),55396,Open Space,10452
1389,Boston,42.277039,-71.08717299999998,28.392426,1,POINT (-71.08717299999998 42.277039),54649,Residential,1389
13903,Boston,42.346451,-71.049545,25.168751,1,POINT (-71.04954499999999 42.346451),55424,Industrial,13903
16075,Boston,42.384147999999996,-71.048416,21.894432000000002,0,POINT (-71.048416 42.384148),54857,Industrial,16075
3904,Boston,42.346451,-71.13736,27.993862,1,POINT (-71.13736 42.346451),55387,Residential,3904
18599,Boston,42.28785300000001,-71.072113,27.689682,1,POINT (-71.072113 42.28785300000001),55621,Business,18599
2823,Boston,42.243237,-71.11981999999998,26.550989,1,POINT (-71.11981999999998 42.243237),54401,Residential,2823
4324,Boston,42.313541,-71.116577,27.549568,1,POINT (-71.11657700000001 42.313541),55826,Residential,4324
2030,Boston,42.311489,-71.12844799999998,24.932858,1,POINT (-71.12844799999998 42.311489),54244,Residential,2030
2494,Boston,42.379601,-71.031532,25.802225,1,POINT (-71.031532 42.379601),55499,Residential,2494
5807,Boston,42.273464000000004,-71.129387,21.538673,0,POINT (-71.12938699999999 42.273464),54308,Residential,5807
4212,Boston,42.282238,-71.11869,28.142195,1,POINT (-71.11869 42.282238),54250,Residential,4212
666,Boston,42.349697,-71.131729,26.867638,1,POINT (-71.13172900000001 42.349697),55387,Residential,666
19363,Boston,42.349697,-71.151993,21.897413,0,POINT (-71.151993 42.349697),55253,Business,19363
8390,Boston,42.242912,-71.123756,24.399887,0,POINT (-71.123756 42.242912),54401,Residential,8390
14519,Boston,42.340275,-71.036598,11.707612,0,POINT (-71.036598 42.340275),54195,Industrial,14519
17454,Boston,42.338326,-71.065872,21.825649,0,POINT (-71.065872 42.338326),54879,Miscellaneous,17454
5321,Boston,42.299,-71.049545,17.2162,0,POINT (-71.04954499999999 42.299),55727,Residential,5321
11115,Boston,42.273136,-71.141212,28.371445,1,POINT (-71.141212 42.273136),54355,Open Space,11115
19387,Boston,42.355548999999996,-71.058929,23.116716,0,POINT (-71.05892900000001 42.355549),54842,Business,19387
17760,Boston,42.346123,-71.082756,24.662392,0,POINT (-71.082756 42.346123),55138,Mixed Use,17760
7925,Boston,42.268589,-71.167854,24.444931,0,POINT (-71.16785400000001 42.268589),54449,Residential,7925
8839,Boston,42.285812,-71.172173,22.743706,0,POINT (-71.172173 42.285812),54446,Residential,8839
14642,Boston,42.369198,-71.063057,14.389002,0,POINT (-71.063057 42.369198),54818,Industrial,14642
1222,Boston,42.334423,-71.03134200000002,28.051601,1,POINT (-71.03134200000002 42.334423),54595,Residential,1222
3236,Boston,42.265987,-71.165977,28.815640999999996,1,POINT (-71.165977 42.265987),54449,Residential,3236
4872,Boston,42.276385999999995,-71.10030400000002,26.918081,1,POINT (-71.10030400000002 42.276386),54638,Residential,4872
1684,Boston,42.312325,-71.051231,27.379932,1,POINT (-71.051231 42.312325),55744,Residential,1684
11419,Boston,42.278679,-71.06633000000002,26.099157,1,POINT (-71.06633000000002 42.278679),54714,Open Space,11419
19178,Boston,42.294125,-71.071877,23.864178,0,POINT (-71.071877 42.294125),55621,Business,19178
4730,Boston,42.290039,-71.11756899999997,29.148923999999997,1,POINT (-71.11756899999997 42.290039),54241,Residential,4730
10852,Boston,42.247139000000004,-71.12545,29.988709999999998,1,POINT (-71.12545 42.247139),54427,Open Space,10852
1321,Boston,42.278339,-71.131828,28.514623999999998,1,POINT (-71.131828 42.278339),54250,Residential,1321
8075,Boston,42.289715,-71.14364599999998,21.646944,0,POINT (-71.14364599999998 42.289715),54450,Residential,8075
526,Boston,42.328899,-71.108459,25.823416,1,POINT (-71.108459 42.328899),55059,Residential,526
